l;"""Cl2 + Propene --> AllylCl + HCl"" rate";"""Cl2 + Propene --> 12-ClC3"" rate";HCl;Propene;Cl2;AllylCl;12-ClC3;FLMOL;T
5.00000000000000e-002;6.85847375626514e-005;6.59918767736703e-004;7.73761485616903e-005;0.799773722760202;0.199327020649126;7.73761485616903e-005;7.44504293549239e-004;0.626550163667142;474.977003028428
0.150000000000000;7.21049546774609e-005;6.62542810558438e-004;1.58841952112299e-004;0.799542540865405;0.198646690519238;1.58841952112299e-004;1.49308471113181e-003;0.626081839704999;476.811168543378
0.250000000000000;7.57846769189008e-005;6.65102407683069e-004;2.44588013736267e-004;0.799306274872713;0.197958864736253;2.44588013736267e-004;2.24568436356101e-003;0.625611706458776;478.652838596527
0.350000000000000;7.96298843768900e-005;6.67595873128879e-004;3.34811828957956e-004;0.799064739163833;0.197263393323780;3.34811828957956e-004;3.00224385447115e-003;0.625139810676946;480.502048571276
0.450000000000000;8.36476898206903e-005;6.70022588666221e-004;4.29719584073751e-004;0.798817739638788;0.196560118447394;4.29719584073751e-004;3.76270274567025e-003;0.624666199546269;482.359247672144
0.550000000000000;8.78434051544625e-005;6.72379604176132e-004;5.29524156799645e-004;0.798565076247833;0.195848878542560;5.29524156799645e-004;4.52699689600706e-003;0.624190922331993;484.22403328021
0.650000000000000;9.22234583070924e-005;6.74665138562715e-004;6.34446398317971e-004;0.798306541447996;0.195129505996750;6.34446398317971e-004;5.29505975861794e-003;0.623714029566524;486.096445034896
0.750000000000000;9.67945287388539e-005;6.76877476942122e-004;7.44715460270856e-004;0.798041919867107;0.194401826774361;7.44715460270856e-004;6.06682243799039e-003;0.623235572985341;487.976562755147
0.850000000000000;1.01563399943352e-004;6.79014811146689e-004;8.60568937053137e-004;0.797770988185251;0.193665660380769;8.60568937053137e-004;6.84221355987282e-003;0.622755605606975;489.864446947001
0.950000000000000;1.06537031118032e-004;6.81075315741249e-004;9.82253101690024e-004;0.797493514908269;0.192920819658202;9.82253101690024e-004;7.62115923014938e-003;0.622274181738385;491.760167979755
1.05000000000000;1.11722521540947e-004;6.83057114184272e-004;1.11002309620633e-003;0.797209260192769;0.192167110661545;1.11002309620633e-003;8.40358295327269e-003;0.621791357015409;493.663793614552
1.15000000000000;1.17127149708708e-004;6.84958313833586e-004;1.24414317128768e-003;0.796917975615868;0.191404332450776;1.24414317128768e-003;9.18940559078078e-003;0.621307188409193;495.575403222363
1.25000000000000;1.22758347404081e-004;6.86776981939008e-004;1.38488689349673e-003;0.796619403981228;0.190632276940397;1.38488689349673e-003;9.97854529138074e-003;0.620821734257770;497.495079136666
1.35000000000000;1.28623717669493e-004;6.88511159713018e-004;1.53253737571052e-003;0.796313279098143;0.189850728711341;1.53253737571052e-003;1.07709174390954e-002;0.620335054283869;499.422912930533
1.45000000000000;1.34730987231357e-004;6.90158827235978e-004;1.68738745120719e-003;0.795999325628760;0.189059464915201;1.68738745120719e-003;1.15664345536250e-002;0.619847209640548;501.358991893513
1.55000000000000;1.41088062760175e-004;6.91717946398216e-004;1.84973991703586e-003;0.795677258854131;0.188258255065236;1.84973991703586e-003;1.23650062465614e-002;0.619358262917464;503.30341696616
1.65000000000000;1.47702991844167e-004;6.93186432488185e-004;2.01990772850129e-003;0.795346784494235;0.187446860906881;2.01990772850129e-003;1.31665391418816e-002;0.618868278179231;505.256291992467
1.75000000000000;1.54583967964030e-004;6.94562159606039e-004;2.19821420201510e-003;0.795007598520213;0.186625036273567;2.19821420201510e-003;1.39709368021894e-002;0.618377320993181;507.217726521816
1.85000000000000;1.61739326230006e-004;6.95842959499752e-004;2.38499321282458e-003;0.794659386971803;0.185792526949538;2.38499321282458e-003;1.47780996530096e-002;0.617885458459233;509.187835976405
1.95000000000000;1.69177537398777e-004;6.97026619861902e-004;2.58058938597639e-003;0.794301825782008;0.184949070541509;2.58058938597639e-003;1.55879249045306e-002;0.617392759241093;511.166741572627
2.05000000000000;1.76907201680234e-004;6.98110883097973e-004;2.78535828023827e-003;0.793934580609244;0.184094396358932;2.78535828023827e-003;1.64003064713480e-002;0.616899293598209;513.154570413433
2.15000000000000;1.84937041243806e-004;6.99093444949186e-004;2.99966656332109e-003;0.793557306678604;0.183228225304725;2.99966656332109e-003;1.72151348900287e-002;0.616405133418746;515.151455488966
2.25000000000000;1.93275890494799e-004;6.99971952646368e-004;3.22389217568095e-003;0.793169648635060;0.182350269779646;3.22389217568095e-003;1.80322972339320e-002;0.615910352254030;517.157535426599
2.35000000000000;2.01932686649209e-004;7.00744003969972e-004;3.45842448319866e-003;0.792771240408167;0.181460233599063;3.45842448319866e-003;1.88516770263723e-002;0.615415025353408;519.172954584723
2.45000000000000;2.10916458353017e-004;7.01407146060135e-004;3.70366441624171e-003;0.792361705090767;0.180557811924939;3.70366441624171e-003;1.96731541518110e-002;0.614919229700045;521.197862986296
2.55000000000000;2.20236312783809e-004;7.01958874322368e-004;3.96002459321236e-003;0.791940654833569;0.179642691214807;3.96002459321236e-003;2.04966047651996e-002;0.614423044047496;523.23241623031
2.65000000000000;2.29901421089543e-004;7.02396631446241e-004;4.22792942647625e-003;0.791507690757698;0.178714549189737;4.22792942647625e-003;2.13219011996122e-002;0.613926548956966;525.276775379655
2.75000000000000;2.39921002007696e-004;7.02717806555687e-004;4.50781520836644e-003;0.791062402887470;0.177773054823463;4.50781520836644e-003;2.21489118723336e-002;0.613429826835174;527.331106823631
