;;;;;;;;;;;;;;C2H6;C3H6;C3H8;H2;C2H4
l [m];C2H4;C3H6;C2H6;C3H8;H2;FLMOL [kgmol/hr];t [s];T [K];2;3;;;;C2H6 - HYSYS;C3H6 - HYSYS;C3H8 - HYSYS;H2 - HYSYS;C2H4 - HYSYS
0,000918614;0,002400397;0,000562617;0,795229192;0,19884478;0,002963014;1,002971819;6,13E-05;1270,46128;0,359660426;0,084340569;;;0,285;0,617006821;2,21E-02;0,155135343;1,14E-01;9,19E-02
0,000950291;0,002480269;0,000581348;0,795070437;0,198806329;0,003061617;1,003071019;6,34E-05;1270,371489;0,358897967;0,084164662;;;0,295;0,61541369;2,23E-02;0,154739482;1,15E-01;9,26E-02
0,000981967;0,002559957;0,000600036;0,794912049;0,198767966;0,003159993;1,00317001;6,55E-05;1270,281885;0,358138612;0,083989466;;;0,305;0,613878574;2,25E-02;0,154357929;1,16E-01;9,34E-02
0,001013643;0,00263946;0,000618682;0,794754026;0,19872969;0,003258142;1,003268792;6,77E-05;1270,192468;0,357382341;0,083814975;;;0,315;0,612397651;2,26E-02;0,153989746;1,17E-01;9,42E-02
0,00104532;0,002718781;0,000637285;0,794596367;0,198691502;0,003356066;1,003367367;6,98E-05;1270,103235;0,356629137;0,083641185;;;0,325;0,610967458;2,28E-02;0,15363408;1,18E-01;9,49E-02
0,001076996;0,002797919;0,000655846;0,794439069;0,198653401;0,003453765;1,003465735;7,19E-05;1270,014187;0,35587898;0,083468092;;;0,335;0,609584842;2,30E-02;0,153290158;1,19E-01;9,56E-02
0,001108672;0,002876875;0,000674365;0,794282132;0,198615387;0,003551241;1,003563897;7,40E-05;1269,925323;0,355131854;0,083295693;;;0,345;0,608246931;2,32E-02;0,152957274;1,19E-01;9,62E-02
0,001140349;0,002955651;0,000692843;0,794125554;0,198577458;0,003648494;1,003661854;7,61E-05;1269,836641;0,354387739;0,083123982;;;0,355;0,606951098;2,33E-02;0,15263478;1,20E-01;9,69E-02
0,001172025;0,003034247;0,000711279;0,793969333;0,198539616;0,003745525;1,003759607;7,82E-05;1269,748142;0,353646618;0,082952956;;;0,365;0,605694936;2,35E-02;0,152322086;1,21E-01;9,75E-02
0,001203701;0,003112663;0,000729673;0,793813468;0,19850186;0,003842336;1,003857156;8,03E-05;1269,659825;0,352908472;0,082782611;;;0,375;0,604476233;2,36E-02;0,152018646;1,22E-01;9,81E-02
0,001235378;0,003190901;0,000748026;0,793657958;0,198464189;0,003938927;1,003954503;8,24E-05;1269,571688;0,352173285;0,082612942;;;0,385;0,603292955;2,38E-02;0,151723961;1,22E-01;9,87E-02
0,001267054;0,003268961;0,000766338;0,7935028;0,198426602;0,004035299;1,004051648;8,46E-05;1269,483732;0,351441039;0,082443947;;;0,395;0,602143204;2,39E-02;0,151437564;1,23E-01;9,93E-02
0,00129873;0,003346843;0,000784609;0,793347994;0,1983891;0,004131453;1,004148593;8,67E-05;1269,395955;0,350711716;0,08227562;;;0,405;0,601025265;2,41E-02;0,151159032;1,24E-01;9,98E-02
0,001330407;0,00342455;0,00080284;0,793193538;0,198351682;0,00422739;1,004245336;8,88E-05;1269,308357;0,3499853;0,082107958;;;0,415;0,599937529;2,42E-02;0,150887968;1,25E-01;1,00E-01
0,001362083;0,003502081;0,00082103;0,79303943;0,198314348;0,004323111;1,004341881;9,09E-05;1269,220937;0,349261772;0,081940957;;;0,425;0,598878504;2,43E-02;0,150624006;1,25E-01;1,01E-01
0,001393759;0,003579437;0,000839179;0,79288567;0,198277098;0,004418616;1,004438227;9,30E-05;1269,133694;0,348541117;0,081774614;;;0,435;0,59784685;2,45E-02;0,150366813;1,26E-01;1,01E-01
0,001425436;0,003656619;0,000857288;0,792732255;0,19823993;0,004513908;1,004534375;9,51E-05;1269,046628;0,347823316;0,081608923;;;0,445;0,596841265;2,46E-02;0,150116071;1,27E-01;1,02E-01
0,001457112;0,003733628;0,000875357;0,792579183;0,198202846;0,004608985;1,004630327;9,72E-05;1268,959737;0,347108354;0,081443882;;;0,455;0,595860473;2,47E-02;0,149871465;1,27E-01;0,102432264
0,001488789;0,003810464;0,000893386;0,792426455;0,198165843;0,004703851;1,004726081;9,93E-05;1268,873022;0,346396214;0,081279487;;;0,465;0,594903355;2,48E-02;0,149632718;1,28E-01;0,102911036
0,001520465;0,003887128;0,000911376;0,792274068;0,198128923;0,004798504;1,004821641;0,00010146;1268,786482;0,34568688;0,081115734;;;0,475;0,593968861;2,49E-02;0,149399572;1,28E-01;0,103378474
0,001552141;0,003963621;0,000929326;0,792122021;0,198092085;0,004892947;1,004917006;0,000103573;1268,700115;0,344980335;0,080952619;;;0,485;0,59305601;2,51E-02;0,149171785;1,29E-01;0,10383507
0,001583818;0,004039944;0,000947236;0,791970312;0,198055328;0,00498718;1,005012177;0,000105685;1268,613922;0,344276562;0,080790139;;;0,495;0,592163882;2,52E-02;0,148949131;1,29E-01;0,104281285
0,001615494;0,004116096;0,000965107;0,791818941;0,198018652;0,005081204;1,005107154;0,000107797;1268,527901;0,343575547;0,080628289;;;0,505;0,591291612;2,53E-02;0,148731396;1,30E-01;0,104717553
0,00164717;0,00419208;0,000982939;0,791667905;0,197982057;0,005175019;1,005201939;0,000109909;1268,442052;0,342877272;0,080467067;;;0,515;0,590438388;2,54E-02;0,148518379;1,31E-01;0,105144281
0,001678847;0,004267895;0,001000733;0,791517203;0,197945542;0,005268627;1,005296533;0,000112021;1268,356374;0,342181722;0,080306469;;;0,525;0,589603444;2,55E-02;0,148309891;1,31E-01;0,105561852
