l [m];Ethane;Propene;Propane;Hydrogen;Ethylene;T [K];"""C2H6 --> C2H4 + H2"" rate";"""C3H8 --> C2H6 + H2"" rate"
1.86500000000000;0.538666099391351;0.031896468481742;0.135522368817126;0.162905814249009;0.131009249060772;1080.23153264149;0.00201254919710766;0.000509202097466457
1.87500000000000;0.538467805999695;0.0319216925623646;0.135472309463186;0.163029990615413;0.131108201359341;1080.05124601415;0.0020010581976708;0.000506333479000525
1.88500000000000;0.538270695927733;0.0319467681574857;0.135422546573095;0.16315342709008;0.131206562251606;1079.87196984364;0.00198969307579083;0.000503496060217667
1.89500000000000;0.538074755912118;0.0319716969194118;0.135373076837252;0.163276131959483;0.131304338371735;1079.69369319658;0.00197845180073851;0.000500689340256151
1.90500000000000;0.537879972906673;0.0319964804735286;0.135323897000097;0.16339811337449;0.131401536245211;1079.5164053142;0.00196733238493844;0.000497912828857945
1.91500000000000;0.537686334077724;0.0320211204188764;0.135275003858957;0.163519379353275;0.131498162291167;1079.34009560865;0.00195633288283348;0.000495166046090443
1.92500000000000;0.537493826799566;0.0320456183287113;0.135226394262911;0.163639937784151;0.131594222824661;1079.16475365942;0.00194545138978451;0.000492448522076957
1.93500000000000;0.537302438650035;0.032069975751051;0.135178065111701;0.163759796428327;0.131689724058887;1078.99036920989;0.00193468604100516;0.000489759796735683
1.94500000000000;0.53711215740621;0.0320941942092065;0.135130013354655;0.163878962922599;0.131784672107329;1078.81693216389;0.00192403501053007;0.00048709941952692
1.95500000000000;0.536922971040219;0.0321182752023001;0.135082235989654;0.163997444781965;0.131879072985862;1078.64443258237;0.00191349651021182;0.000484466949207241
1.96500000000000;0.536734867715155;0.0321422202057695;0.135034730062109;0.164115249402171;0.131972932614796;1078.47286068024;0.00190306878875291;0.00048186195359231
1.97500000000000;0.5365478357811;0.0321660306718597;0.134987492663979;0.164232384062195;0.132066256820866;1078.30220682316;0.00189275013076516;0.000479284009326259
1.98500000000000;0.536361863771251;0.0321897080301014;0.134940520932809;0.164348855926668;0.132159051339171;1078.13246152454;0.00188253885585814;0.000476732701658355
1.99500000000000;0.536176940398141;0.032213253687778;0.134893812050786;0.164464672048227;0.132251321815067;1077.96361544249;0.0018724333177541;0.000474207624225959
2.00500000000000;0.535993054549963;0.0322366690303801;0.134847363243833;0.164579839369817;0.132343073806007;1077.79565937692;0.00186243190342893;0.000471708378843992
2.01500000000000;0.535810195286981;0.0322599554220489;0.134801171780709;0.164694364726924;0.132434312783338;1077.62858426677;0.00185253303228455;0.000469234575301978
2.02500000000000;0.535628351838034;0.0322831142060084;0.134755234972149;0.164808254849761;0.132525044134048;1077.46238118714;0.00184273515533845;0.00046678583116539
2.03500000000000;0.53544751359713;0.0323061467049865;0.134709550170011;0.164921516365395;0.132615273162478;1077.29704134666;0.00183303675444108;0.0004643617715837
2.04500000000000;0.535267670120119;0.0323290542216261;0.134664114766453;0.165034155799821;0.13270500509198;1077.13255608481;0.00182343634151458;0.000461962029103712
2.05500000000000;0.535088811121459;0.0323518380388857;0.134618926193128;0.165146179579985;0.132794245066543;1076.9689168694;0.00181393245781739;0.000459586243489196
2.06500000000000;0.534910926471046;0.0323744994204298;0.134573981920397;0.165257594035757;0.132882998152371;1076.806115294;0.00180452367322635;0.000457234061544869
2.07500000000000;0.534734006191141;0.0323970396110108;0.134529279456564;0.165368405401854;0.13297126933943;1076.64414307556;0.00179520858554106;0.00045490513694569
2.08500000000000;0.534558040453357;0.0324194598368402;0.13448481634713;0.165478619819719;0.133059063542954;1076.48299205197;0.00178598581980986;0.000452599130071559
2.09500000000000;0.534383019575727;0.0324417613059518;0.13444059017406;0.165588243339353;0.133146385604908;1076.32265417974;0.00177685402767146;0.000450315707845832
2.10500000000000;0.534208934019843;0.0324639452085557;0.134396598555075;0.1656972819211;0.133233240295427;1076.16312153173;0.0017678118867202;0.000448054543579548
2.11500000000000;0.534035774388057;0.0324860127173836;0.134352839142958;0.16580574143739;0.133319632314211;1076.00438629495;0.00175885809988632;0.000445815316819401
2.12500000000000;0.533863531420764;0.0325079649880265;0.134309309624872;0.165913627674446;0.133405566291892;1075.84644076836;0.00174999139483481;0.000443597713200201
2.13500000000000;0.533692195993731;0.0325298031592635;0.134266007721706;0.166020946333939;0.133491046791361;1075.68927736077;0.00174121052338068;0.000441401424301451
2.14500000000000;0.533521759115507;0.0325515283533834;0.13422293118742;0.166127703034613;0.133576078309077;1075.53288858876;0.00173251426092008;0.000439226147507668
2.15500000000000;0.533352211924882;0.0325731416764981;0.134180077808423;0.16623390331387;0.133660665276327;1075.3772670747;0.00172390140588184;0.000437071585873841
2.16500000000000;0.533183545688415;0.0325946442188499;0.134137445402953;0.166339552629311;0.133744812060471;1075.22240554471;0.00171537077918733;0.000434937447992763
2.17500000000000;0.533015751798011;0.0326160370551095;0.134095031820475;0.16644465636025;0.133828522966154;1075.06829682681;0.00170692122372982;0.000432823447867342
2.18500000000000;0.532848821768564;0.0326373212446694;0.134052834941098;0.166549219809186;0.133911802236482;1074.91493384896;0.00169855160386735;0.000430729304786032
2.19500000000000;0.532682747235649;0.0326584978319287;0.134010852674998;0.166653248203243;0.133994654054181;1074.76230963728;0.00169026080492978;0.000428654743201843
2.20500000000000;0.532517519953267;0.032679567846572;0.133969082961857;0.166756746695579;0.134077082542724;1074.61041731422;0.00168204773273736;0.000426599492614125
2.21500000000000;0.532353131791646;0.0327005323038422;0.133927523770322;0.166859720366757;0.134159091767432;1074.45925009683;0.00167391131313562;0.000424563287454397
2.22500000000000;0.532189574735092;0.0327213922048063;0.133886173097463;0.166962174226088;0.134240685736551;1074.30880129501;0.00166585049154104;0.000422545866974751
2.23500000000000;0.532026840879882;0.0327421485366161;0.133845028968252;0.167064113212948;0.134321868402302;1074.15906430985;0.0016578642324979;0.00042054697513905
2.24500000000000;0.531864922432218;0.0327628022727617;0.133804089435057;0.167165542198051;0.134402643661913;1074.01003263201;0.00164995151924979;0.000418566360517704
2.25500000000000;0.531703811706214;0.0327833543733206;0.133763352577137;0.167266465984711;0.134483015358618;1073.86169984006;0.00164211135332045;0.000416603776184681
2.26500000000000;0.531543501121936;0.0328038057852005;0.133722816500158;0.167366889310061;0.134562987282645;1073.71405959897;0.00163434275410634;0.000414658979617459
2.27500000000000;0.531383983203487;0.0328241574423766;0.133682479335715;0.167466816846252;0.134642563172169;1073.56710565856;0.00162664475848141;0.000412731732599986
2.28500000000000;0.531225250577128;0.0328444102661238;0.133642339240865;0.167566253201626;0.134721746714257;1073.42083185199;0.00161901642041004;0.000410821801127521
2.29500000000000;0.53106729596945;0.0328645651652439;0.133602394397671;0.167665202921854;0.13480054154578;1073.27523209426;0.0016114568105695;0.000408928955313926
2.30500000000000;0.530910112205576;0.0328846230362873;0.133562643012758;0.167763670491063;0.134878951254315;1073.13030038086;0.00160396501598817;0.000407052969302773
2.31500000000000;0.530753692207414;0.0329045847637705;0.133523083316875;0.167861660332925;0.134956979379016;1072.9860307863;0.00159654013968571;0.000405193621178922
2.32500000000000;0.530598028991936;0.032924451220388;0.133483713564469;0.167959176811728;0.135034629411478;1072.84241746276;0.00158918130032688;0.000403350692883488
2.33500000000000;0.53044311566951;0.0329442232672203;0.13344453203327;0.168056224233425;0.135111904796575;1072.69945463873;0.00158188763188309;0.000401523970130628
2.34500000000000;0.530288945442252;0.0329639017539373;0.13340553702388;0.168152806846656;0.135188808933275;1072.55713661769;0.00157465828330309;0.000399713242326638
2.35500000000000;0.530135511602426;0.0329834875189965;0.133366726859374;0.16824892884375;0.135265345175453;1072.41545777687;0.00156749241819195;0.000397918302491041
2.36500000000000;0.529982807530873;0.0330029813898381;0.133328099884914;0.168344594361708;0.135341516832667;1072.27441256594;0.00156038921449819;0.00039613894717971
2.37500000000000;0.529830826695474;0.033022384183075;0.133289654467361;0.168439807483157;0.135417327170933;1072.13399550579;0.00155334786420885;0.000394374976409889
2.38500000000000;0.52967956264965;0.0330416967046791;0.133251388994903;0.168534572237293;0.135492779413476;1071.99420118737;0.00154636757305297;0.000392626193587326
2.39500000000000;0.529529009030885;0.033060919750164;0.13321330187669;0.168628892600797;0.135567876741464;1071.85502427041;0.00153944756020978;0.000390892405434506
2.40500000000000;0.529379159559294;0.0330800541047628;0.133175391542477;0.168722772498736;0.135642622294729;1071.71645948235;0.00153258705802865;0.000389173421921847
2.41500000000000;0.529230008036208;0.0330991005436032;0.133137656442269;0.168816215805442;0.135717019172477;1071.57850161718;0.00152578531175305;0.000387469056199757
2.42500000000000;0.529081548342797;0.0331180598318787;0.133100095045982;0.168909226345371;0.135791070433972;1071.44114553431;0.00151904157925168;0.000385779124532618
2.43500000000000;0.528933774438717;0.0331369327250153;0.133062705843104;0.169001807893951;0.135864779099214;1071.30438615755;0.0015123551307573;0.000384103446234468
2.44500000000000;0.528786680360791;0.0331557199688363;0.133025487342366;0.169093964178404;0.135938148149603;1071.16821847394;0.00150572524861062;0.000382441843606093
2.45500000000000;0.528640260221712;0.0331744222997221;0.132988438071424;0.169185698878555;0.136011180528586;1071.0326375328;0.00149915122701038;0.000380794141873511
