l [m],C3H8,C2H4,H2,C2H6,C3H6,FLMOL [kgmol/hr],t [s],T [K],2,3
2.960999999999785,0.14487724200863006,0.0353397223481814,0.5109491865059196,0.12861688478045635,0.18021696435681273,1.219834952080246,0.19321376434929308,1066.911549370572,0.0012797818139111538,0.000325860748398016
2.961999999999785,0.1448833076997361,0.03534128122496613,0.5109370211605008,0.12861380099009342,0.18022458892470353,1.2198462975222808,0.19327908773953226,1066.9004635157087,0.0012793189509317994,0.0003257444368178297
2.9629999999997847,0.14488937108373287,0.03534283951778089,0.5109248604350547,0.12861071836191637,0.18023221060151506,1.2198576388732825,0.19334441120096743,1066.8893816058026,0.001278856410922004,0.00032562820582397706
2.9639999999997846,0.14489543216227674,0.03534439722704154,0.5109127043262673,0.12860763689509486,0.18023982938931957,1.2198689761361008,0.1934097347335889,1066.8783036381246,0.0012783941935480172,0.0003255120553335854
2.9649999999997845,0.1449014909370223,0.03534595435316352,0.5109005528308278,0.12860455658879938,0.18024744529018705,1.2198803093135826,0.193475058337387,1066.867229609949,0.0012779322984765255,0.0003253959852638898
2.9659999999997844,0.14490754740962242,0.03534751089656182,0.5108884059454288,0.1286014774422014,0.18025505830618543,1.2198916384085714,0.19354038201235205,1066.8561595185522,0.0012774707253747047,0.00032527999553224766
2.9669999999997843,0.1449136015817283,0.035349066857651025,0.5108762636667671,0.1285983994544732,0.1802626684393805,1.2199029634239078,0.19360570575847433,1066.8450933612141,0.001277009473910152,0.0003251640860561204
2.967999999999784,0.14491965345498928,0.03535062223684525,0.510864125991542,0.12859532262478793,0.18027027569183565,1.2199142843624298,0.1936710295757442,1066.834031135217,0.0012765485437509535,0.0003250482567530888
2.968999999999784,0.14492570303105298,0.035352177034558195,0.5108519929164568,0.1285922469523196,0.18027788006561232,1.2199256012269724,0.19373635346415194,1066.8229728378458,0.001276087934565613,0.0003249325075408392
2.969999999999784,0.14493175031156544,0.03535373125120315,0.5108398644382185,0.1285891724362432,0.18028548156276974,1.219936914020367,0.1938016774236879,1066.8119184663885,0.0012756276460231138,0.00032481683833717503
2.970999999999784,0.14493779529817077,0.03535528488719292,0.510827740553537,0.1285860990757344,0.18029308018536486,1.2199482227454437,0.19386700145434238,1066.800868018136,0.0012751676777928832,0.0003247012490600097
2.9719999999997837,0.1449438379925115,0.03535683794293993,0.5108156212591262,0.12858302686996986,0.1803006759354526,1.2199595274050274,0.19393232555610573,1066.7898214903817,0.001274708029544791,0.0003245857396273688
2.9729999999997836,0.14494987839622833,0.03535839041885613,0.5108035065517028,0.12857995581812703,0.1803082688150856,1.2199708280019426,0.19399764972896824,1066.7787788804217,0.0012742487009491752,0.00032447030995738733
2.9739999999997835,0.1449559165109603,0.03535994231535307,0.5107913964279879,0.12857688591938432,0.18031585882631448,1.2199821245390088,0.19406297397292024,1066.7677401855549,0.0012737896916768152,0.0003243549599683141
2.9749999999997834,0.14496195233834464,0.035361493632841856,0.5107792908847051,0.1285738171729209,0.1803234459711876,1.2199934170190438,0.19412829828795208,1066.7567054030833,0.0012733310013989235,0.000324239689578508
2.9759999999997833,0.14496798588001694,0.035363044371733175,0.5107671899185817,0.12857074957791687,0.18033103025175126,1.2200047054448622,0.19419362267405407,1066.7456745303114,0.0012728726297871864,0.0003241244987064387
2.976999999999783,0.14497401713761113,0.03536459453243728,0.510755093526349,0.12856768313355313,0.18033861167004953,1.220015989819275,0.19425894713121653,1066.7346475645465,0.0012724145765137308,0.0003240093872706873
2.977999999999783,0.14498004611275928,0.035366144115363984,0.510743001704741,0.12856461783901146,0.1803461902281244,1.2200272701450916,0.19432427165942978,1066.7236245030988,0.001271956841251114,0.0003238943551899487
2.978999999999783,0.1449860728070918,0.03536769312092268,0.5107309144504953,0.1285615536934745,0.18035376592801564,1.2200385464251178,0.19438959625868416,1066.712605343281,0.0012714994236723753,0.00032377940238301895
2.979999999999783,0.1449920972222375,0.035369241549522354,0.5107188317603535,0.12855849069612577,0.18036133877176103,1.2200498186621562,0.19445492092897,1066.7015900824085,0.0012710423234509557,0.0003236645287688123
2.9809999999997827,0.1449981193598233,0.03537078940157153,0.5107067536310597,0.12855542884614962,0.18036890876139597,1.2200610868590074,0.1945202456702776,1066.6905787177998,0.0012705855402607707,0.0003235497342663515
2.9819999999997826,0.14500413922147445,0.03537233667747833,0.510694680059362,0.12855236814273122,0.180376475898954,1.2200723510184686,0.1945855704825973,1066.6795712467758,0.0012701290737761606,0.00032343501879476485
2.9829999999997825,0.1450101568088147,0.03537388337765044,0.5106826110420118,0.12854930858505662,0.18038404018646637,1.2200836111433337,0.19465089536591948,1066.6685676666602,0.0012696729236719299,0.000323320382273298
2.9839999999997824,0.1450161721234659,0.035375429502495136,0.510670546575764,0.12854625017231278,0.18039160162596224,1.2200948672363947,0.19471622032023442,1066.6575679747798,0.001269217089623309,0.0003232058246212981
2.9849999999997823,0.14502218516704818,0.03537697505241925,0.5106584866573767,0.12854319290368735,0.18039916021946859,1.2201061193004399,0.1947815453455325,1066.6465721684635,0.0012687615713059723,0.00032309134575822626
2.985999999999782,0.14502819594118008,0.0353785200278292,0.5106464312836113,0.128540136778369,0.18040671596901045,1.220117367338255,0.194846870441804,1066.6355802450435,0.0012683063683960444,0.0003229769456036515
2.986999999999782,0.14503420444747842,0.03538006442913099,0.5106343804512329,0.1285370817955472,0.18041426887661058,1.2201286113526235,0.19491219560903927,1066.6245922018543,0.001267851480570074,0.0003228626240772505
2.987999999999782,0.14504021068755826,0.03538160825673018,0.5106223341570097,0.12853402795441218,0.1804218189442896,1.2201398513463249,0.1949775208472287,1066.6136080362332,0.001267396907505072,0.00032274838109881394
2.988999999999782,0.14504621466303314,0.035383151511031934,0.5106102923977137,0.12853097525415513,0.18042936617406624,1.2201510873221366,0.19504284615636255,1066.6026277455205,0.0012669426488784521,0.00032263421658823067
2.9899999999997817,0.14505221637551466,0.03538469419244096,0.5105982551701196,0.12852792369396798,0.1804369105679568,1.2201623192828333,0.1951081715364312,1066.591651327059,0.001266488704368105,0.0003225201304655055
2.9909999999997816,0.14505821582661296,0.03538623630136159,0.5105862224710062,0.1285248732730436,0.18044445212797572,1.220173547231186,0.19517349698742498,1066.5806787781942,0.0012660350736523327,0.00032240612265075486
2.9919999999997815,0.1450642130179364,0.03538777783819769,0.510574194297155,0.12852182399057557,0.18045199085613528,1.2201847711699638,0.19523882250933422,1066.5697100962743,0.0012655817564098885,0.00032229219306419284
2.9929999999997814,0.14507020795109168,0.03538931880335274,0.5105621706453515,0.12851877584575847,0.18045952675444563,1.2201959911019322,0.1953041481021493,1066.5587452786501,0.001265128752319961,0.00032217834162615104
2.9939999999997813,0.14507620062768384,0.0353908591972298,0.5105501515123841,0.12851572883778759,0.18046705982491482,1.2202072070298549,0.19536947376586053,1066.5477843226754,0.0012646760610621516,0.00032206456825705903
2.994999999999781,0.1450821910493161,0.03539239902023147,0.5105381368950445,0.1285126829658591,0.18047459006954877,1.2202184189564917,0.19543479950045825,1066.5368272257065,0.0012642236823165165,0.00032195087287746355
2.995999999999781,0.14508817921759026,0.03539393827275998,0.5105261267901282,0.12850963822917005,0.18048211749035145,1.2202296268846,0.1955001253059328,1066.5258739851022,0.0012637716157635477,0.0003218372554080132
2.996999999999781,0.14509416513410628,0.03539547695521714,0.5105141211944336,0.12850659462691827,0.1804896420893246,1.2202408308169346,0.19556545118227453,1066.5149245982243,0.0012633198610841573,0.00032172371576946247
2.997999999999781,0.14510014880046246,0.035397015068004314,0.5105021201047628,0.12850355215830245,0.18049716386846798,1.220252030756247,0.1956307771294738,1066.503979062437,0.0012628684179596906,0.00032161025388267617
2.9989999999997807,0.14510613021825544,0.03539855261152247,0.5104901235179209,0.12850051082252206,0.18050468282977913,1.2202632267052864,0.19569610314752095,1066.4930373751079,0.0012624172860719392,0.00032149686966862287
2.9999999999997806,0.14511210938908028,0.035400089586172155,0.5104781314307164,0.12849747061877748,0.1805121989752536,1.2202744186667989,0.19576142923640633,1066.482099533606,0.0012619664651031084,0.0003213835630483827
3.0009999999997805,0.1451180863145303,0.035401625992353504,0.5104661438399614,0.12849443154626985,0.180519712306885,1.2202856066435281,0.19582675539612027,1066.471165535304,0.0012615159547358387,0.0003212703339431375
3.0019999999997804,0.14512406099619712,0.035403161830466226,0.5104541607424709,0.12849139360420123,0.18052722282666453,1.2202967906382145,0.19589208162665314,1066.4602353775767,0.0012610657546531959,0.00032115718227417414
3.0029999999997803,0.14513003343567082,0.035404697100909634,0.5104421821350634,0.1284883567917744,0.18053473053658162,1.2203079706535953,0.1959574079279953,1066.4493090578023,0.0012606158645386844,0.0003210441079628865
3.00399999999978,0.14513600363453974,0.035406231804082616,0.510430208014561,0.12848532110819305,0.1805422354386235,1.2203191466924062,0.19602273430013706,1066.4383865733607,0.0012601662840762418,0.0003209311109307805
