l,"""Cl2 + Propene --> AllylCl + HCl"" rate","""Cl2 + Propene --> 12-ClC3"" rate",HCl,Propene,Cl2,AllylCl,12-ClC3,FLMOL,T
0.0,6.428946714269419e-05,0.0006477800666683953,7.248111602359293e-06,0.7999781455075217,0.1999343263648938,7.248111602359293e-06,7.303190437984257e-05,0.6269708438666048,473.3312142514559
0.01,6.461401405149491e-05,0.0006480593378393224,1.4533875108428928e-05,0.7999562449310319,0.1998685813494536,1.4533875108428928e-05,0.0001461059692974769,0.6269250352513708,473.5125075150598
0.02,6.494003081390927e-05,0.000648338030852281,2.1857465197403894e-05,0.7999342981056641,0.19980276481824874,2.1857465197403894e-05,0.00021922214569236544,0.6268792069364885,473.6938798173388
0.03,6.526752307717424e-05,0.0006486161440584999,2.9219057241593683e-05,0.7999123048658999,0.19973687663532447,2.9219057241593683e-05,0.00029238038429252403,0.6268333589629421,473.87533118524874
0.04,6.559649650491372e-05,0.0006488936758071818,3.661882730854714e-05,0.7998902650455685,0.19967091666420023,3.661882730854714e-05,0.000365580635614105,0.6267874913718325,474.05686164617526
0.05,6.592695677715977e-05,0.0006491706244454964,4.405695216318074e-05,0.7998681784778445,0.1996048847678681,4.405695216318074e-05,0.0004388228499609795,0.6267416042043772,474.23847122793575
0.060000000000000005,6.62589095903752e-05,0.0006494469883185681,5.153360926991011e-05,0.7998460449952451,0.19953878080879076,5.153360926991011e-05,0.0005121069774243172,0.6266956975019108,474.4201599587808
0.07,6.659236065747699e-05,0.0006497227657694655,5.904897679478528e-05,0.7998238644296287,0.1994726046488996,5.904897679478528e-05,0.0005854329678821648,0.6266497713058851,474.60192786739566
0.08,6.692731570785563e-05,0.0006499979551391937,6.660323360762901e-05,0.7998016366121924,0.1994063561495932,6.660323360762901e-05,0.0006588007709990235,0.6266038256578691,474.78377498290183
0.09,6.726378048739926e-05,0.0006502725547666786,7.419655928417872e-05,0.7997793613734706,0.1993400351717356,7.419655928417872e-05,0.0007322103362254242,0.626557860599549,474.9657013348587
0.09999999999999999,6.760176075851474e-05,0.0006505465629887656,8.182913410823158e-05,0.7997570385433321,0.1992736415756539,8.182913410823158e-05,0.0008056616127975008,0.6265118761727291,475.1477069532649
0.10999999999999999,6.794126230014794e-05,0.0006508199781401985,8.950113907379311e-05,0.7997346679509789,0.1992071752211371,8.950113907379311e-05,0.0008791545497365633,0.6264658724193309,475.32979186855994
0.11999999999999998,6.828229090780756e-05,0.0006510927985536175,9.721275588722905e-05,0.7997122494249429,0.19914063596743392,9.721275588722905e-05,0.0009526890958486666,0.6264198493813943,475.51195611162575
0.12999999999999998,6.862485239358426e-05,0.000651365022559543,0.00010496416696942065,0.7996897827930857,0.19907402367325136,0.00010496416696942065,0.0010262651997241825,0.6263738071010764,475.69419971378824
0.13999999999999999,6.896895258617392e-05,0.0006516366484863688,0.00011275555545792304,0.7996672678825947,0.19900733819675234,0.00011275555545792304,0.001099882809737363,0.6263277456206532,475.8765227068187
0.15,6.931459733089656e-05,0.00065190767466035,0.00012058710520912703,0.7996447045199815,0.19894057939555423,0.00012058710520912703,0.0011735418740459083,0.6262816649825189,476.05892512293553
0.16,6.966179248971937e-05,0.0006521780994055909,0.0001284590008004245,0.7996220925310814,0.19887374712672726,0.0001284590008004245,0.0012472423405905317,0.6262355652291857,476.2414069948055
0.17,7.001054394127637e-05,0.0006524479210440356,0.00013637142753237632,0.7995994317410487,0.19880684124679213,0.00013637142753237632,0.0013209841570945187,0.6261894464032847,476.4239683555455
0.18000000000000002,7.036085758088933e-05,0.0006527171378954588,0.00014432457143088428,0.7995767219743563,0.19873986161171858,0.00014432457143088428,0.0013947672710632902,0.6261433085475657,476.606609238724
0.19000000000000003,7.071273932058865e-05,0.0006529857482774498,0.00015231861924936584,0.7995539630547938,0.1986728080769236,0.00015231861924936584,0.001468591629783961,0.6260971517048977,476.7893296783625
0.20000000000000004,7.106619508913388e-05,0.0006532537505054078,0.000160353758470932,0.7995311548054639,0.19860568049726926,0.000160353758470932,0.0015424571803248949,0.6260509759182686,476.9721297089371
0.21000000000000005,7.142123083203338e-05,0.0006535211428925265,0.00016843017731056896,0.7995082970487823,0.19853847872706137,0.00016843017731056896,0.001616363869535264,0.6260047812307852,477.15500936537995
0.22000000000000006,7.177785251156538e-05,0.0006537879237497844,0.0001765480647173222,0.7994853896064735,0.19847120262004717,0.0001765480647173222,0.0016903116440445984,0.6259585676856744,477.33796868308093
0.23000000000000007,7.213606610679747e-05,0.0006540540913859334,0.00018470761037648437,0.7994624322995707,0.1984038520294138,0.00018470761037648437,0.0017643004502623416,0.625912335326282,477.521007697889
0.24000000000000007,7.249587761360678e-05,0.0006543196441074876,0.00019290900471178612,0.7994394249484127,0.19833642680778651,0.00019290900471178612,0.0018383302343773996,0.6258660841960738,477.70412644611366
